ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
"[24.07.25][มิ้น] ฝนตกแบบนี้ยังมีไปรษณีย์มาส่ง (Ghostly)",120233475158630260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[29.03.26][มิ้น] เล่มลายเซ็นนักเขียนหมึกซึม (Ghostly) (Remains)",120246468504980260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[09.09.25][มิ้น] ประโยคนี้เตือนสติ (Witches)",120236551109280260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.03.25][มิ้น] Unboxing newbook (Gift)",120222451540920260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[17.03.25][มิ้น] การ์ดอยากบอกอะไรคุณ (Witches)",120222281364600260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.01.25] [มิ้น] Unboxing หนังสือฮีลใจเล่มใหม่ 2025 (Home)",120218671600690260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[04.02.26][มิ้น] มนุษย์ที่เป็นคนดี (สัมภาษณ์หมอ) (Trap)",120245891795580260,2026-05-04,not_delivering,ad,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[26.11.24] [มิ้น] เงินเดือนก็พอใช้อยู่แล้ว (ปีศาจการเงิน)",120217325231390260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[24.03.25][มิ้น] 5 ข้อคิดที่ได้จากหนังสือ (Gift)",120222654403270260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[04.02.26][มิ้น] มนุษย์ที่เป็นคนดี (สัมภาษณ์หมอ) (Trap) (Click)",120244547996470260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[23.07.25][มิ้น] อ่านแล้วหายเหนื่อย (Tried)",120245505030860260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.09.24] [มิ้น] คนเราแตกสลายได้กี่ครั้ง",120216728822800260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[03.12.25][มิ้น] น้ำตาซึมไปหลายวัน (Remains)",120244180969930260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[24.12.25][มิ้น] อย่ากลัวที่จะโดดเดี่ยว (Ghostly)",120242967762990260,2026-05-04,archived,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[15.10.24] [มิ้น] จุดเปลี่ยนของชีวิต (Life)",120216340907800260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
